IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.245.118.70,2053,true,SIN,Asia Pacific,Singapore,262 ms,5305 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,229 ms,5279 kB/s
8.210.39.96,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,5249 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,236 ms,5245 kB/s
47.242.54.157,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,5240 kB/s
8.219.106.156,2087,true,SIN,Asia Pacific,Singapore,237 ms,5123 kB/s
8.222.134.170,2087,true,SIN,Asia Pacific,Singapore,235 ms,5086 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,267 ms,5062 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,223 ms,5029 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,242 ms,4991 kB/s
47.76.204.76,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,4990 kB/s
8.219.174.213,2087,true,SIN,Asia Pacific,Singapore,229 ms,4958 kB/s
47.237.83.20,8443,true,SIN,Asia Pacific,Singapore,248 ms,4924 kB/s
47.245.86.230,8443,true,SIN,Asia Pacific,Singapore,248 ms,4919 kB/s
47.237.86.185,8443,true,SIN,Asia Pacific,Singapore,221 ms,4908 kB/s
8.219.153.237,2053,true,NRT,Asia Pacific,Tokyo,317 ms,4904 kB/s
47.243.60.150,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,4877 kB/s
8.219.98.13,2087,true,SIN,Asia Pacific,Singapore,238 ms,4869 kB/s
8.210.21.65,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,4856 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,241 ms,4817 kB/s
47.237.95.156,8443,true,SIN,Asia Pacific,Singapore,237 ms,4779 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,235 ms,4748 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,275 ms,4748 kB/s
